stock_symbol,date,open_price,current_price,high_price,low_price,trading_volume,market_trend
AAPL,2024-09-24,228.4,227.12,229.1,225.48,43556100,Downward
AAPL,2024-09-25,224.68,226.12,227.04,223.77,42308700,Upward
AAPL,2024-09-26,227.05,227.27,228.25,225.16,36636700,Upward
AAPL,2024-09-27,228.21,227.54,229.27,227.05,34026000,Downward
AAPL,2024-09-30,229.79,232.74,232.74,229.4,54541900,Upward
AAPL,2024-10-01,229.27,225.96,229.4,223.49,63285000,Downward
AAPL,2024-10-02,225.64,226.53,227.12,222.77,32880600,Upward
AAPL,2024-10-03,224.89,225.42,226.56,223.07,34044200,Upward
AAPL,2024-10-04,227.65,226.55,227.75,223.88,37245100,Downward
AAPL,2024-10-07,224.25,221.45,225.44,221.09,39505400,Downward
AAPL,2024-10-08,224.05,225.52,225.73,223,31855700,Upward
AAPL,2024-10-09,224.98,229.29,229.5,224.58,33591100,Upward
AAPL,2024-10-10,227.53,228.79,229.25,226.92,28183500,Upward
AAPL,2024-10-11,229.05,227.3,229.16,227.09,31759200,Downward
AAPL,2024-10-14,228.45,231.05,231.48,228.35,39882100,Upward
AAPL,2024-10-15,233.35,233.59,237.23,232.11,64751400,Upward
AAPL,2024-10-16,231.35,231.53,231.86,229.59,34082200,Upward
AAPL,2024-10-17,233.17,231.89,233.59,230.27,32993800,Downward
AAPL,2024-10-18,235.92,234.74,235.92,233.75,46431500,Downward
AAPL,2024-10-21,234.19,236.22,236.59,234.19,36254500,Upward
AAPL,2024-10-22,233.63,235.6,235.96,232.34,38846600,Upward
AAPL,2024-10-23,233.82,230.51,234.88,227.51,52287000,Downward
AAPL,2024-10-24,229.73,230.32,230.57,228.16,31109500,Upward
AAPL,2024-10-25,229.49,231.16,232.96,229.32,38802300,Upward
AAPL,2024-10-28,233.06,233.14,234.47,232.29,36087100,Upward
AAPL,2024-10-29,232.84,233.41,234.07,232.06,35417200,Upward
AAPL,2024-10-30,232.35,229.85,233.21,229.3,47070900,Downward
AAPL,2024-10-31,229.09,225.66,229.58,225.12,64370100,Downward
AAPL,2024-11-01,220.73,222.67,225.1,220.03,65276700,Upward
AAPL,2024-11-04,220.75,221.77,222.55,219.47,44944500,Upward
AAPL,2024-11-05,221.56,223.2,223.7,220.9,28111300,Upward
AAPL,2024-11-06,222.37,222.48,225.82,220.95,54561100,Upward
AAPL,2024-11-07,224.38,227.23,227.63,224.32,42137700,Upward
AAPL,2024-11-08,227.17,226.96,228.66,226.41,38328800,Downward
AAPL,2024-11-11,225,224.23,225.7,221.5,42005600,Downward
AAPL,2024-11-12,224.55,224.23,225.59,223.36,40398300,Downward
AAPL,2024-11-13,224.01,225.12,226.65,222.76,48566200,Upward
AAPL,2024-11-14,225.02,228.22,228.87,225,44923900,Upward
AAPL,2024-11-15,226.4,225,226.92,224.27,47923700,Downward
AAPL,2024-11-18,225.25,228.02,229.74,225.17,44686000,Upward
AAPL,2024-11-19,226.98,228.28,230.16,226.66,36211800,Upward
AAPL,2024-11-20,228.06,229,229.93,225.89,35169600,Upward
AAPL,2024-11-21,228.88,228.52,230.16,225.71,42108300,Downward
AAPL,2024-11-22,228.06,229.87,230.72,228.06,38168300,Upward
AAPL,2024-11-25,231.46,232.87,233.25,229.74,90152800,Upward
AAPL,2024-11-26,233.33,235.06,235.57,233.33,45986200,Upward
AAPL,2024-11-27,234.47,234.93,235.69,233.81,33498400,Upward
AAPL,2024-11-29,234.81,237.33,237.81,233.97,28481400,Upward
AAPL,2024-12-02,237.27,239.59,240.79,237.16,48137100,Upward
AAPL,2024-12-03,239.81,242.65,242.76,238.9,38861000,Upward
AAPL,2024-12-04,242.87,243.01,244.11,241.25,44383900,Upward
AAPL,2024-12-05,243.99,243.04,244.54,242.13,40033900,Downward
AAPL,2024-12-06,242.91,242.84,244.63,242.08,36870600,Downward
AAPL,2024-12-09,241.83,246.75,247.24,241.75,44649200,Upward
AAPL,2024-12-10,246.89,247.77,248.21,245.34,36914800,Upward
AAPL,2024-12-11,247.96,246.49,250.8,246.26,45205800,Downward
AAPL,2024-12-12,246.89,247.96,248.74,245.68,32777500,Upward
AAPL,2024-12-13,247.82,248.13,249.29,246.24,33155300,Upward
AAPL,2024-12-16,247.99,251.04,251.38,247.65,51694800,Upward
AAPL,2024-12-17,250.08,253.48,253.83,249.78,51321700,Upward
GOOGL,2024-09-24,162.84,162.1,163.03,160.51,23332100,Downward
GOOGL,2024-09-25,161.29,161.31,162.62,161.12,18869200,Upward
GOOGL,2024-09-26,163.45,162.54,163.89,162.09,20319300,Downward
GOOGL,2024-09-27,162.62,163.76,165.51,162.44,21101300,Upward
GOOGL,2024-09-30,163.13,165.66,165.96,163.07,20413900,Upward
GOOGL,2024-10-01,167.5,166.8,168.97,164.39,28338100,Downward
GOOGL,2024-10-02,166.23,165.67,167.33,164.54,17760200,Downward
GOOGL,2024-10-03,164.22,165.67,166.45,163.73,15073100,Upward
GOOGL,2024-10-04,167.87,166.87,168.04,165.29,19047400,Downward
GOOGL,2024-10-07,167.53,162.79,168.29,162.56,22463100,Downward
GOOGL,2024-10-08,163.75,164.19,164.54,162.68,23072700,Upward
GOOGL,2024-10-09,163.26,161.67,164.65,159.56,31181800,Downward
GOOGL,2024-10-10,160.69,161.89,162.88,160.22,14144100,Upward
GOOGL,2024-10-11,161.94,163.05,163.71,161.06,15344300,Upward
GOOGL,2024-10-14,163.45,164.77,166.04,163.21,19016100,Upward
GOOGL,2024-10-15,165.6,165.27,167.49,164.44,20247200,Downward
GOOGL,2024-10-16,164.34,164.97,165.61,163.55,16406000,Upward
GOOGL,2024-10-17,165.54,162.74,166.18,162.57,21453400,Downward
GOOGL,2024-10-18,163,163.23,164.52,162.89,19757700,Upward
GOOGL,2024-10-21,162.76,163.88,164.31,162.43,20946500,Upward
GOOGL,2024-10-22,162.79,164.95,165.58,162.79,16568100,Upward
GOOGL,2024-10-23,164.57,162.59,165.63,161.74,18280500,Downward
GOOGL,2024-10-24,162.64,162.53,163.14,160.83,22412500,Downward
GOOGL,2024-10-25,163.48,165.08,165.4,163.23,19828900,Upward
GOOGL,2024-10-28,168.56,166.53,168.56,163.76,32138600,Downward
GOOGL,2024-10-29,167.54,169.49,170.18,166.9,42169000,Upward
GOOGL,2024-10-30,180.47,174.26,181.81,173.86,68890800,Downward
GOOGL,2024-10-31,172.93,170.91,176.62,170.8,44769000,Downward
GOOGL,2024-11-01,169.88,171.09,172.12,168.69,31796500,Upward
GOOGL,2024-11-04,169.74,169.05,170.53,167.82,21492700,Downward
GOOGL,2024-11-05,169.24,169.55,170.33,168.65,18242100,Upward
GOOGL,2024-11-06,173.6,176.31,176.74,173.3,33695500,Upward
GOOGL,2024-11-07,177.21,180.54,180.87,176.99,25352900,Upward
GOOGL,2024-11-08,180.44,178.15,180.69,177.88,22006200,Downward
GOOGL,2024-11-11,178.38,180.14,180.34,178.27,17450400,Upward
GOOGL,2024-11-12,179.61,181.41,182.28,179.18,25134900,Upward
GOOGL,2024-11-13,180.25,178.68,180.75,178.34,23184000,Downward
GOOGL,2024-11-14,178.08,175.38,178.62,174.12,31007500,Downward
GOOGL,2024-11-15,173.53,172.29,173.94,171.02,32504600,Downward
GOOGL,2024-11-18,173.22,175.1,175.24,172.7,20206600,Upward
GOOGL,2024-11-19,173.52,177.92,178.67,173.36,23434900,Upward
GOOGL,2024-11-20,177.14,175.78,177.48,173.58,18997100,Downward
GOOGL,2024-11-21,173.7,167.44,173.93,163.51,59734400,Downward
GOOGL,2024-11-22,165.66,164.57,166.27,163.71,38604600,Downward
GOOGL,2024-11-25,165.9,167.46,168.44,165.42,33135300,Upward
GOOGL,2024-11-26,167.44,168.93,169.63,167.39,20486700,Upward
GOOGL,2024-11-27,168.81,169.04,169.29,167.83,19266500,Upward
GOOGL,2024-11-29,168.31,168.76,169.24,166.97,14257200,Upward
GOOGL,2024-12-02,168.58,171.29,171.88,168.38,23789100,Upward
GOOGL,2024-12-03,171.29,171.14,172.48,170.65,22248700,Downward
GOOGL,2024-12-04,170.95,174.17,174.71,170.86,31615100,Upward
GOOGL,2024-12-05,175.16,172.44,175.86,172.13,21356200,Downward
GOOGL,2024-12-06,171.83,174.51,174.88,171.66,21462400,Upward
GOOGL,2024-12-09,173.96,175.37,176.26,173.65,25389600,Upward
GOOGL,2024-12-10,182.85,185.17,186.36,181.05,54813000,Upward
GOOGL,2024-12-11,185.31,195.4,195.61,184.85,67894100,Upward
GOOGL,2024-12-12,195,191.96,195.18,191.71,34817500,Downward
GOOGL,2024-12-13,191.01,189.82,192.73,189.64,25143500,Downward
GOOGL,2024-12-16,192.87,196.66,199,192.62,44934900,Upward
GOOGL,2024-12-17,197.25,195.42,201.42,194.98,43482900,Downward
MSFT,2024-09-24,432.14,428.31,432.48,425.25,17015800,Downward
MSFT,2024-09-25,428.97,431.25,432.25,427.71,13396400,Upward
MSFT,2024-09-26,434.22,430.45,434.43,428.27,14492000,Downward
MSFT,2024-09-27,430.66,427.16,430.99,426.62,14896100,Downward
MSFT,2024-09-30,427.35,429.44,429.56,424.52,16807300,Upward
MSFT,2024-10-01,427.59,419.85,427.62,417.97,19092900,Downward
MSFT,2024-10-02,421.74,416.3,421.98,415.88,16582300,Downward
MSFT,2024-10-03,416.8,415.71,418.71,413.46,13686400,Downward
MSFT,2024-10-04,417.4,415.23,418.91,414.14,19169700,Downward
MSFT,2024-10-07,415.17,408.72,416.28,408.18,20919800,Downward
MSFT,2024-10-08,410.08,413.88,414.83,407.35,19229300,Upward
MSFT,2024-10-09,415.03,416.63,419.54,413.47,14974300,Upward
MSFT,2024-10-10,414.4,415.01,416.52,412.32,13848400,Upward
MSFT,2024-10-11,415.31,415.49,416.3,412.42,14144900,Upward
MSFT,2024-10-14,416.94,418.3,423.19,416.69,16653100,Upward
MSFT,2024-10-15,421.34,417.9,421.64,414.43,18900200,Downward
MSFT,2024-10-16,414.34,415.29,415.53,409.66,15508900,Upward
MSFT,2024-10-17,421.52,415.89,421.66,414.76,14820000,Downward
MSFT,2024-10-18,416.31,417.32,418.81,415.43,17145300,Upward
MSFT,2024-10-21,415.29,417.94,418.12,412.92,14206100,Upward
MSFT,2024-10-22,417.65,426.66,429.72,417.2,25482200,Upward
MSFT,2024-10-23,430,423.75,430.22,421.69,19654400,Downward
MSFT,2024-10-24,424.48,423.88,425.13,421.56,13581600,Downward
MSFT,2024-10-25,425.91,427.29,431.66,425.72,16899100,Upward
MSFT,2024-10-28,430.8,425.74,431.08,425.45,14882400,Downward
MSFT,2024-10-29,427.15,431.09,432.3,424.95,17644100,Upward
MSFT,2024-10-30,436.57,431.67,437.62,431.24,29749100,Downward
MSFT,2024-10-31,414.53,405.54,415.33,405.49,53971000,Downward
MSFT,2024-11-01,408.19,409.55,414.67,406.69,24230400,Upward
MSFT,2024-11-04,408.98,407.64,409.6,404.76,19672300,Downward
MSFT,2024-11-05,407.55,410.64,414.07,407.26,17626000,Upward
MSFT,2024-11-06,411.6,419.34,419.61,409.7,26681800,Upward
MSFT,2024-11-07,420.44,424.58,426,419.04,19901800,Upward
MSFT,2024-11-08,424.47,421.7,425.65,420.94,16891400,Downward
MSFT,2024-11-11,421.68,417.17,423.96,415.17,24503300,Downward
MSFT,2024-11-12,417.41,422.18,423.59,416.37,19401200,Upward
MSFT,2024-11-13,420.8,424.35,428.47,417.37,21502200,Upward
MSFT,2024-11-14,424.15,426.04,427.31,419.16,30246900,Upward
MSFT,2024-11-15,418.98,414.17,421.96,412.81,28247600,Downward
MSFT,2024-11-18,414.04,414.93,417.56,411.28,24742000,Upward
MSFT,2024-11-19,412.28,416.96,417.11,410.73,18133500,Upward
MSFT,2024-11-20,416.04,414.66,416.46,409.76,19191700,Downward
MSFT,2024-11-21,419.5,412.87,419.78,410.29,20780200,Downward
MSFT,2024-11-22,411.37,417,417.4,411.06,24814600,Upward
MSFT,2024-11-25,418.38,418.79,421.08,414.85,27691100,Upward
MSFT,2024-11-26,419.59,427.99,429.04,418.85,23458900,Upward
MSFT,2024-11-27,425.11,422.99,427.23,422.02,18332400,Downward
MSFT,2024-11-29,420.09,423.46,424.88,417.8,16271900,Upward
MSFT,2024-12-02,421.57,430.98,433,421.31,20207200,Upward
MSFT,2024-12-03,429.84,431.2,432.47,427.74,18302000,Upward
MSFT,2024-12-04,433.03,437.42,439.67,432.63,26009400,Upward
MSFT,2024-12-05,437.92,442.62,444.66,436.17,21697800,Upward
MSFT,2024-12-06,442.3,443.57,446.1,441.77,18821000,Upward
MSFT,2024-12-09,442.6,446.02,448.33,440.5,19144400,Upward
MSFT,2024-12-10,444.39,443.33,449.62,441.6,18469500,Downward
MSFT,2024-12-11,444.05,448.99,450.35,444.05,19200200,Upward
MSFT,2024-12-12,449.11,449.56,456.16,449.11,20834800,Upward
MSFT,2024-12-13,448.44,447.27,451.43,445.58,20177800,Downward
MSFT,2024-12-16,447.27,451.59,452.18,445.28,23598800,Upward
MSFT,2024-12-17,451.01,454.46,455.29,449.57,22716300,Upward
TSLA,2024-09-24,254.08,254.27,257.19,249.05,88491000,Upward
TSLA,2024-09-25,252.54,257.02,257.05,252.28,65034300,Upward
TSLA,2024-09-26,260.6,254.22,261.75,251.53,67142200,Downward
TSLA,2024-09-27,257.38,260.46,260.7,254.12,70988100,Upward
TSLA,2024-09-30,259.04,261.63,264.86,255.77,80705700,Upward
TSLA,2024-10-01,262.67,258.02,263.98,248.53,87397600,Downward
TSLA,2024-10-02,247.55,249.02,251.16,241.5,93983900,Upward
TSLA,2024-10-03,244.48,240.66,249.79,237.81,80729200,Downward
TSLA,2024-10-04,246.69,250.08,250.96,244.58,86573200,Upward
TSLA,2024-10-07,249,240.83,249.83,240.7,68113300,Downward
TSLA,2024-10-08,243.56,244.5,246.21,240.56,56303200,Upward
TSLA,2024-10-09,243.82,241.05,247.43,239.51,66289500,Downward
TSLA,2024-10-10,241.81,238.77,242.79,232.34,83087100,Downward
TSLA,2024-10-11,220.13,217.8,223.34,214.38,142628900,Downward
TSLA,2024-10-14,220.13,219.16,221.91,213.74,86291900,Downward
TSLA,2024-10-15,220.01,219.57,224.26,217.12,62988800,Downward
TSLA,2024-10-16,221.4,221.33,222.82,218.93,49632800,Downward
TSLA,2024-10-17,221.59,220.89,222.08,217.9,50791800,Downward
TSLA,2024-10-18,220.71,220.7,222.28,219.23,49611900,Downward
TSLA,2024-10-21,218.9,218.85,220.48,215.73,47329000,Downward
TSLA,2024-10-22,217.31,217.97,218.22,215.26,43268700,Upward
TSLA,2024-10-23,217.13,213.65,218.72,212.11,80938900,Downward
TSLA,2024-10-24,244.68,260.48,262.12,242.65,204491900,Upward
TSLA,2024-10-25,256.01,269.19,269.49,255.32,161611900,Upward
TSLA,2024-10-28,270,262.51,273.54,262.24,107653600,Downward
TSLA,2024-10-29,264.51,259.52,264.98,255.51,80521800,Downward
TSLA,2024-10-30,258.04,257.55,263.35,255.82,53993600,Downward
TSLA,2024-10-31,257.99,249.85,259.75,249.25,66575300,Downward
TSLA,2024-11-01,252.04,248.98,254,246.63,57544800,Downward
TSLA,2024-11-04,244.56,242.84,248.9,238.88,68802400,Downward
TSLA,2024-11-05,247.34,251.44,255.28,246.21,69282500,Upward
TSLA,2024-11-06,284.67,288.53,289.59,275.62,165228700,Upward
TSLA,2024-11-07,288.89,296.91,299.75,285.52,117309200,Upward
TSLA,2024-11-08,299.14,321.22,328.71,297.66,204782800,Upward
TSLA,2024-11-11,346.3,350,358.64,336,210521600,Upward
TSLA,2024-11-12,342.74,328.49,345.84,323.31,155726000,Downward
TSLA,2024-11-13,335.85,330.24,344.6,322.5,125405600,Downward
TSLA,2024-11-14,327.69,311.18,329.98,310.37,120726100,Downward
TSLA,2024-11-15,310.57,320.72,324.68,309.22,114440300,Upward
TSLA,2024-11-18,340.73,338.74,348.55,330.01,126547500,Downward
TSLA,2024-11-19,335.76,346,347.38,332.75,88852500,Upward
TSLA,2024-11-20,345,342.03,346.6,334.3,66340700,Downward
TSLA,2024-11-21,343.81,339.64,347.99,335.28,58011700,Downward
TSLA,2024-11-22,341.09,352.56,361.53,337.7,89140700,Upward
TSLA,2024-11-25,360.14,338.59,361.93,338.2,95890900,Downward
TSLA,2024-11-26,341,338.23,346.96,335.66,62295900,Downward
TSLA,2024-11-27,341.8,332.89,342.55,326.59,57896400,Downward
TSLA,2024-11-29,336.08,345.16,345.45,334.65,37167600,Upward
TSLA,2024-12-02,352.38,357.09,360,351.15,77986500,Upward
TSLA,2024-12-03,351.8,351.42,355.69,348.2,58267200,Downward
TSLA,2024-12-04,353,357.93,358.1,348.6,50810900,Upward
TSLA,2024-12-05,359.87,369.49,375.43,359.5,81403600,Upward
TSLA,2024-12-06,377.42,389.22,389.49,370.8,81455800,Upward
TSLA,2024-12-09,397.61,389.79,404.8,378.01,96359200,Downward
TSLA,2024-12-10,392.68,400.99,409.73,390.85,97563600,Upward
TSLA,2024-12-11,409.7,424.77,424.88,402.38,104287600,Upward
TSLA,2024-12-12,424.84,418.1,429.3,415,87752200,Downward
TSLA,2024-12-13,420,436.23,436.3,415.71,89000200,Upward
TSLA,2024-12-16,441.09,463.02,463.19,436.15,114083800,Upward
TSLA,2024-12-17,475.9,479.86,483.99,457.51,130268400,Upward
AMZN,2024-09-24,194.27,193.96,195.37,190.13,43478900,Downward
AMZN,2024-09-25,193.75,192.53,193.95,192.16,26391100,Downward
AMZN,2024-09-26,194.31,191.16,194.53,189.54,36334900,Downward
AMZN,2024-09-27,190.68,187.97,190.9,187.34,36002300,Downward
AMZN,2024-09-30,187.14,186.33,188.49,184.65,41583900,Downward
AMZN,2024-10-01,184.9,185.13,186.19,183.45,36044900,Upward
AMZN,2024-10-02,184.44,184.76,186.6,184.04,23704100,Upward
AMZN,2024-10-03,183.05,181.96,183.44,180.88,30204300,Downward
AMZN,2024-10-04,185.75,186.51,187.6,183.6,40890300,Upward
AMZN,2024-10-07,182.95,180.8,183.6,180.25,42364200,Downward
AMZN,2024-10-08,181.92,182.72,183.09,180.92,26372100,Upward
AMZN,2024-10-09,182.82,185.17,185.85,182.05,26343100,Upward
AMZN,2024-10-10,187.13,186.65,188.13,185.83,27785000,Downward
AMZN,2024-10-11,186.63,188.82,189.93,186.3,25751600,Upward
AMZN,2024-10-14,189.78,187.54,189.83,187.36,22614400,Downward
AMZN,2024-10-15,187.63,187.69,188.41,184.58,32178900,Upward
AMZN,2024-10-16,187.05,186.89,187.78,185.61,23456800,Downward
AMZN,2024-10-17,188.22,187.53,188.94,186,25039400,Downward
AMZN,2024-10-18,187.15,188.99,190.74,186.28,37417700,Upward
AMZN,2024-10-21,188.05,189.07,189.46,186.4,24639400,Upward
AMZN,2024-10-22,188.35,189.7,191.52,186.98,29650600,Upward
AMZN,2024-10-23,188.85,184.71,189.16,183.69,31937100,Downward
AMZN,2024-10-24,185.25,186.38,187.11,183.86,21647400,Upward
AMZN,2024-10-25,187.85,187.83,190.45,187.53,29362100,Downward
AMZN,2024-10-28,189.57,188.39,190.21,188.21,27930800,Downward
AMZN,2024-10-29,188.58,190.83,191.46,187.82,35690200,Upward
AMZN,2024-10-30,194.7,192.73,195.61,192.42,37707600,Downward
AMZN,2024-10-31,190.51,186.4,190.6,185.23,75146800,Downward
AMZN,2024-11-01,199,197.93,200.5,197.02,99687800,Downward
AMZN,2024-11-04,196.45,195.78,197.33,194.31,38492100,Downward
AMZN,2024-11-05,196.04,199.5,199.82,195.99,30564800,Upward
AMZN,2024-11-06,200.01,207.09,207.55,199.14,72292200,Upward
AMZN,2024-11-07,207.44,210.05,212.25,207.19,52878400,Upward
AMZN,2024-11-08,209.72,208.18,209.96,207.44,36075800,Downward
AMZN,2024-11-11,208.5,206.84,209.65,205.59,35456000,Downward
AMZN,2024-11-12,208.37,208.91,209.54,206.01,38942900,Upward
AMZN,2024-11-13,209.4,214.1,215.09,209.14,46212900,Upward
AMZN,2024-11-14,214.16,211.48,215.9,210.88,42620300,Downward
AMZN,2024-11-15,206.76,202.61,207.34,199.61,86591100,Downward
AMZN,2024-11-18,204.15,201.7,204.67,200.95,36512500,Downward
AMZN,2024-11-19,199.33,204.61,205.3,198.78,31197900,Upward
AMZN,2024-11-20,202.98,202.88,203.13,199.45,32769000,Downward
AMZN,2024-11-21,203.49,198.38,203.49,195.75,58800000,Downward
AMZN,2024-11-22,198.25,197.12,199.26,196.75,31530800,Downward
AMZN,2024-11-25,199.28,201.45,201.95,199,40685700,Upward
AMZN,2024-11-26,201.9,207.86,208,201.79,41673700,Upward
AMZN,2024-11-27,206.98,205.74,207.64,205.05,28061600,Downward
AMZN,2024-11-29,205.83,207.89,208.2,204.59,24892400,Upward
AMZN,2024-12-02,209.96,210.71,212.99,209.51,39523200,Upward
AMZN,2024-12-03,210.31,213.44,214.02,209.65,32214800,Upward
AMZN,2024-12-04,215.96,218.16,220,215.75,48745700,Upward
AMZN,2024-12-05,218.03,220.55,222.15,217.3,41140200,Upward
AMZN,2024-12-06,220.75,227.03,227.15,220.6,44178100,Upward
AMZN,2024-12-09,227.21,226.09,230.08,225.67,46819400,Downward
AMZN,2024-12-10,226.09,225.04,229.06,224.2,31199900,Downward
AMZN,2024-12-11,226.41,230.26,231.2,226.26,35385800,Upward
AMZN,2024-12-12,229.83,228.97,231.09,227.63,28204100,Downward
AMZN,2024-12-13,228.4,227.46,230.2,225.86,28768100,Downward
AMZN,2024-12-16,230.23,232.93,233,228.01,37552100,Upward
AMZN,2024-12-17,232.39,231.15,232.73,227.85,35918500,Downward
